Facility Number,Facility Name,Common Name,Registration Status,Created At,Updated At,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude,Date Opened,National Grid,Generator,Solar Panels,No Electricity,Other
100061-1,AICT Bunda,AICT BUNDA,Registered,2013-08-20T10:23:48.000Z,2019-05-10T11:21:57.000Z,Lake Zone,Mara,Bunda,Bunda TC,Kabarimu,Kabarimu,Dispensary,Operating,Private - Faith based organization (FBO),,,-2.01881,33.872,07/07/2006,1,0,0,0,0
100062-9,AICT Makongoro,AICT Makongoro,Registered,2013-08-20T10:23:49.000Z,2016-02-24T19:27:29.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Isamilo,Nyakabungo,Health Center,Operating,Private - Faith based organization (FBO),193004,19-03-0110,-2.50528,32.90121,,1,0,0,0,0
100067-8,Airport Church,,Registered,2013-08-20T10:23:50.000Z,2017-02-28T11:45:30.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Closed,Private - For Profit,,,-6.86298,39.206301,,0,0,0,0,0
100068-6,Airport MICO,,Registered,2013-08-20T10:23:50.000Z,2017-02-28T11:42:08.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Closed,Private - For Profit,,,-6.867489,39.192029,,0,0,0,0,0
100069-4,Airport Police,Terminal One,Not Registered,2013-08-20T10:23:50.000Z,2015-07-08T10:12:28.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Operating,Public - Police,,,-6.87122,39.20314,01/06/1967,1,0,0,0,0
110667-3,Airport Tanzania,Airport Dispensary,Registered,2015-07-10T12:36:42.000Z,2019-11-14T17:35:26.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Operating,Public - MoHCDGEC,,,-6.862977,39.206299,01/06/1972,1,0,0,0,0
100070-2,Airwing 603 ATS,Air Wing,Registered,2013-08-20T10:23:50.000Z,2019-11-10T16:11:46.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Operating,Public - Military,,,-6.868095,39.19808,01/06/1972,1,0,0,0,0
100072-8,Akim Dental Services,Kwa Akim,Registered,2013-08-20T10:23:51.000Z,2019-11-14T17:36:27.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Kivukoni,Clinic - Dental Clinic,Operating,Private - For Profit,72111,,-6.81857,39.28699,15/03/2001,1,1,0,0,0
100079-3,Al - Amal,Umusalama,Registered,2013-08-20T10:23:52.000Z,2019-04-25T09:53:41.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Gangilonga,Sabasaba,Dispensary,Operating,Private - For Profit,116208,,-7.77564,35.70213,07/09/2013,1,0,0,0,0
100074-4,Al Hassan,,,2013-08-20T10:23:51.000Z,2015-08-14T11:58:00.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Clinic - Dental Clinic,Closed,Private - For Profit,,,-6.81909,39.28271,,0,0,0,0,0
100075-1,Al Hilal,Al Hilal,Registered,2013-08-20T10:23:51.000Z,2019-03-01T10:30:45.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Clinic - Polyclinic,Operating,Private - Faith based organization (FBO),72262,,-6.81897,39.28139,21/01/1981,1,1,0,0,0
100086-8,Al Jumaa,Al Jumaa Dispensary,Registered,2013-08-20T10:23:53.000Z,2016-04-22T18:13:55.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kariakoo,Kariakoo kaskazini,Dispensary,Operating,Private - Faith based organization (FBO),72019,,-6.818188,39.275753,13/09/1999,1,1,0,0,0
100078-5,Al Karimu,Bakwata,Registered,2013-08-20T10:23:52.000Z,2015-07-10T06:47:39.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Vingunguti,Kombo,Dispensary,Operating,Private - For Profit,72020,,-6.840399,39.237449,08/09/1997,1,1,0,0,0
100082-7,Al-Ehsaa,KALOLENI HEALTH CENTRE,Registered,2013-08-20T10:23:53.000Z,2015-07-23T12:14:45.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Kaloleni,Kaloleni,Dispensary,Operating,Private - Faith based organization (FBO),36030,,-3.36883,37.3457,19/09/0098,1,0,0,0,0
100085-0,Al-Ijumaa,Al Jumaa,Registered,2013-08-20T10:23:53.000Z,2017-11-08T18:53:35.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Pamba,Pamba 'A',Health Center,Operating,Private - Faith based organization (FBO),193005,,-2.520509,32.902825,03/04/1990,1,1,0,0,0
112065-8,AL-Mansoor,AL-Mansoor,Registered,2018-02-01T05:47:58.000Z,2019-05-08T21:53:29.000Z,Central Zone,Singida,Singida,Singida DC,Msisi,Nkwae,Dispensary,Operating,Private - Faith based organization (FBO) - Bakwata,,,-4.63479,34.65291,31/10/2017,0,0,1,0,0
100092-6,Al-Mohlem,Al-Mohlem,Registered,2013-08-20T10:23:55.000Z,2018-05-17T05:30:17.000Z,Northern Zone,Tanga,Tanga,Tanga CC,Ngamiani Kaskazini,Mkwakwani,Dispensary,Operating,Private - Faith based organization (FBO),,,-5.083031,39.116825,,1,0,0,0,0
112983-2,AL-Tabibu,,Registered,2019-03-10T08:33:55.000Z,2019-09-02T11:32:17.000Z,Southern Zone,Mtwara,Mtwara,Mtwara MC,Naliendele,Naliendele,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MTW/AUT/010,,-10.36506,40.16107,,0,0,0,0,0
111227-5,Alailelai,,Registered,2015-11-26T13:41:01.000Z,2019-11-27T06:42:24.000Z,Northern Zone,Arusha,Ngorongoro,Ngorongoro DC,Alailelai,Alailelai,Dispensary,Operating,Public - LGA,,,-2.956721,35.698378,01/07/2014,0,0,1,0,0
100080-1,Alamano,Alamano,Registered,2013-08-20T10:23:52.000Z,2015-03-30T12:53:12.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Gangilonga,Sabasaba,Dispensary,Operating,Private - Faith based organization (FBO),116209,,-7.77281,35.70111,30/07/2004,1,0,0,0,0
110613-7,Alara,,Registered,2015-07-10T07:02:49.000Z,2019-08-06T08:16:25.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Chamazi,Msufini,Clinic - Specialized Polyclinic,Operating,Private - For Profit,73363,,-6.91848,39.23563,01/02/2015,1,0,0,0,0
Not set,Alensoni,Kifuru,Not Registered,2014-05-22T07:14:25.000Z,2016-04-21T13:25:10.000Z,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Kisarawe,Kifuru,Clinic,Pending Operation - Under Construction,Private - Faith based organization (FBO),,,-6.95372,38.96669,21/01/2015,0,0,1,0,0
112947-7,ALEP,ALEP,Registered,2019-03-07T16:07:45.000Z,2019-05-22T14:41:34.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Mabogini,Mabogini,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/KIL/AUT/08,,-3.40753,37.36253,10/04/2014,1,0,0,0,0
110629-3,Alexia,Alexia Dispensary,Registered,2015-07-10T09:12:16.000Z,2017-10-16T13:50:58.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Toangoma,Toangoma,Health Center,Operating,Private - For Profit,73359,,-6.94335,39.308997,01/04/2014,1,1,0,0,0
112325-6,Alexia Medical,,Registered,2018-08-14T13:21:02.000Z,2019-03-01T10:37:58.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Toangoma,Vikunai,Clinic - Specialized clinic,Operating,Private - For Profit,7407,,-6.91139,39.30706,04/05/2018,1,0,0,0,0
113555-7,Alfa,ALFA,Registered,2019-04-10T08:05:19.000Z,2020-02-26T06:21:08.000Z,Southern Highlands Zone,Katavi,Mpanda,Mpanda MC,Kashaulili,Majengo A,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/KTV/AUT/010,,-6.3442,31.07046,07/01/2019,0,1,0,0,0
111435-4,Alfa,,Registered,2016-08-11T12:19:42.000Z,2019-11-14T17:39:08.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Not set,Clinic - Specialized clinic,Operating,Private - For Profit,,,-6.79789,39.27839,22/08/2017,0,0,0,0,0
111703-5,Alfa-Prolife,Alfa-Prolife,Registered,2017-04-06T20:22:01.000Z,2019-07-18T09:18:58.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kingolwira,Mjimwema,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.796398,37.676988,,1,0,0,0,0
113047-5,Alinda,,Registered,2019-03-10T12:20:05.000Z,2019-05-13T20:16:50.000Z,Lake Zone,Kagera,Bukoba,Bukoba MC,Rwamishenye,National(NHC),Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/KAG/AUT/015,,-1.32175,31.793918,08/03/2018,1,1,0,0,0
112626-7,Alira,,Registered,2019-03-01T15:35:44.000Z,2019-05-07T15:44:11.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kibasila,Clinic - Dental Clinic,Operating,Private - For Profit,75525,,-6.8092,39.28655,16/05/2018,0,0,0,0,0
110303-5,Aljamih,,Registered,2015-06-17T08:17:22.000Z,2019-10-14T06:05:07.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mwembesongo,Mwembesongwe,Dispensary,Closed (Temporary),Private - Faith based organization (FBO),,,-6.80408,37.66922,,1,0,0,0,0
111899-1,Aljumaa,Aljumaa,Registered,2017-10-30T10:25:50.000Z,2019-08-14T09:09:08.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kariakoo,Kariakoo Mashariki,Clinic - Dental Clinic,Operating,Private - For Profit,,,-6.81801,39.27576,01/01/2017,0,0,0,0,0
100087-6,Alkaria,Arkaria Dispensary,Registered,2013-08-20T10:23:54.000Z,2019-06-12T01:42:37.000Z,Northern Zone,Arusha,Monduli,Monduli DC,Sepeko,Arkaria,Dispensary,Operating,Public - LGA,,,-3.32432,36.30118,,0,0,1,0,0
100090-0,Alliance One,,,2013-08-20T10:23:54.000Z,2016-01-13T08:06:29.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro DC,Mkambarani,Mkambarani,Dispensary,Operating,Private - For Profit,,,-6.77842,37.76137,,0,0,0,0,0
110974-3,Alma prinmat,Zahanati,Registered,2015-10-09T09:46:06.000Z,2019-01-31T07:55:48.000Z,Lake Zone,Mwanza,Sengerema,Sengerema DC,Nyamatongo,Kamanga,Health Labs,Closed,Private - For Profit,82,,-2.536471,32.834879,,1,0,0,0,0
100093-4,Alpha,ALPHA PRINMAT,Registered,2013-08-20T10:23:55.000Z,2015-08-20T07:43:55.000Z,Lake Zone,Mara,Tarime,Tarime DC,Sirari,Kanisani,Maternity Home,Operating,Private - For Profit,56,,-1.25212,34.4751,,1,0,0,0,0
112826-3,Alpha,Alpha Health Laboratory,Registered,2019-03-02T03:21:09.000Z,2019-05-29T03:44:56.000Z,Lake Zone,Geita,Geita,Geita TC,Kalangalala,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/GTA/AUT/05,,-2.87762,32.26384,,1,0,0,0,0
113307-3,Alpha,,Registered,2019-03-27T17:37:48.000Z,2019-05-29T14:11:21.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyamanoro,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MWZ/AUT/02,,-2.493986,32.912633,,0,0,0,0,0
112651-5,Alpha,ALPHA,Registered,2019-03-02T04:01:01.000Z,2019-07-18T11:47:07.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kihonda,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,phl-c/mor/aut/05,,-6.786597,37.659471,,1,0,0,0,0
112337-1,Alpha,,Registered,2018-08-20T14:08:18.000Z,2020-03-09T16:39:33.000Z,Southern Highlands Zone,Iringa,Kilolo,Kilolo DC,Ruaha Mbuyuni,Ruaha Mbuyuni,Dispensary,Operating,Private - For Profit,111236,,-7.46623,36.50618,01/08/2018,1,0,0,0,0
109507-4,Alsheikh,Alsheikh,Registered,2015-03-27T10:11:24.000Z,2019-09-21T10:32:24.000Z,Southern Highlands Zone,Iringa,Kilolo,Kilolo DC,Ruaha Mbuyuni,Ruaha Mbuyuni,Dispensary,Operating,Private - Faith based organization (FBO),111021,11-07-0112,-7.46679,36.51212,,1,0,0,0,0
112346-2,Alshifaa Medical Kidney,Alshifa Medical Kidney,Registered,2018-08-28T09:49:57.000Z,2018-10-13T13:57:29.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mikocheni,Mikocheni B,Clinic,Operating,Private - For Profit,,,-6.761681,39.250331,08/05/2017,1,0,0,0,0
100097-5,Amana,Amana,Registered,2013-08-20T10:23:56.000Z,2019-11-14T17:44:24.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Shariff Shamba,Hospital - Regional Referral Hospital,Operating,Public - MoHCDGEC,,,-6.82674,39.25926,01/01/1968,1,1,0,0,0
112749-7,Amana Eye Centre,,Registered,2019-03-07T03:27:28.000Z,2019-08-14T08:59:44.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Mafuriko,Clinic - Optometry Clinic,Operating,Private - For Profit,120,,-6.82798,39.25867,02/03/2015,1,0,0,0,0
100098-3,Amani,,,2013-08-20T10:23:56.000Z,2015-03-30T11:03:42.000Z,Northern Zone,Arusha,Karatu,Karatu DC,Karatu,Karatu Mjini,Dispensary,Closed,Private - For Profit,,,-3.34026,35.6806,,0,0,0,0,0
100105-6,Amani,Amani,Registered,2013-08-20T10:23:57.000Z,2016-02-26T07:50:13.000Z,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Magazini,Amani,Dispensary,Operating,Public - LGA,,,-11.47111,36.65333,,0,0,1,0,0
100108-0,Amani,Amani,Registered,2013-08-20T10:23:58.000Z,2018-03-29T08:14:02.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Makole,Chimuli,Health Center,Operating,Private - For Profit,,,-6.160399,35.760658,12/04/2011,1,0,0,0,0
100107-2,Amani,Amani,Registered,2013-08-20T10:23:58.000Z,2019-05-28T09:44:32.000Z,Northern Zone,Tanga,Muheza,Muheza DC,Amani,Shebomeza,Dispensary,Operating,Public - LGA,,,-5.10012,38.63348,,1,0,0,0,0
100109-8,Amani,,Registered,2013-08-20T10:23:58.000Z,2019-06-04T08:25:45.000Z,Northern Zone,Manyara,Babati,Babati TC,Babati,Maisaka B,Maternity and Nursing Home,Operating,Private - For Profit,,,-4.20857,35.75193,,1,0,0,0,0
111694-6,Amani,Amani,Registered,2017-03-31T18:29:08.000Z,2019-06-07T18:19:18.000Z,Northern Zone,Tanga,Handeni,Handeni DC,Mazingara,Amani,Dispensary,Operating,Public - LGA,,,-5.71533,38.23912,01/07/2017,0,0,1,0,0
113304-0,Amani,,Registered,2019-03-27T17:31:26.000Z,2019-07-05T10:29:03.000Z,Eastern Zone,Pwani,Kibaha,Kibaha TC,Kibaha,Kwamfipa,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/PWN/AUT/033,,-6.74867,38.90404,,1,0,0,0,0
111948-6,Amani,AMANI Dispensary,Registered,2017-12-12T07:23:39.000Z,2019-07-17T09:21:58.000Z,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Tandahimba,Matogoro,Dispensary,Operating,Private - For Profit,91206,,-10.76348,39.6334,22/04/2017,1,1,0,0,0
112705-9,Amani,,Registered,2019-03-02T04:18:39.000Z,2019-07-21T20:20:58.000Z,Eastern Zone,Morogoro,Ulanga,Ulanga DC,Lupiro,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,Phl-C/Mor/Aut/044,,-8.3859,36.6693,,0,0,0,0,0
100106-4,Amani,Amani,Registered,2013-08-20T10:23:58.000Z,2019-08-22T06:35:14.000Z,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Namasakata,Mchengamoto,Dispensary,Operating,Public - LGA,,,-11.21349,37.45284,15/07/2004,0,0,1,0,0
100100-7,Amani,Amani,Registered,2013-08-20T10:23:56.000Z,2019-10-15T11:16:17.000Z,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Mundindi,Amani,Dispensary,Operating,Public - LGA,,22-05-0135,-9.94648,34.89538,18/07/1978,0,0,1,0,0
113390-9,Amani,,Registered,2019-03-27T17:32:23.000Z,2019-12-05T08:02:30.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyamanoro,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MWZ/AUT/084,,-2.483353,32.907111,20/09/2018,0,0,0,0,0
108988-7,Amani,Amani Handeni,Registered,2014-10-17T13:56:00.000Z,2019-11-28T11:56:40.000Z,Northern Zone,Tanga,Handeni,Handeni TC,Mdoe,Mjimpya,Dispensary,Operating,Private - For Profit,46200,,-5.42361,38.02162,20/01/2013,1,0,0,0,0
100110-6,Amani Chogo,Amani chogo,Registered,2013-08-20T10:23:58.000Z,2017-02-06T06:45:09.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Mirongo,Uhuru,Clinic - Other Clinic,Operating,Private - For Profit,1930003,,-2.51685,32.90191,,1,0,0,0,0
111966-8,Amani GE,,Registered,2018-01-16T15:28:45.000Z,2019-06-21T08:31:09.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Pangani,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/AR/AUT/28,,-3.368256,36.68539,,1,0,0,0,0
100111-4,Amani Igoma,Amani Igoma,Not Registered,2013-08-20T10:23:59.000Z,2019-12-11T13:31:55.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Igoma,Dr. Shein,Dispensary,Closed (Temporary),Private - For Profit,nil,,-2.547683,32.979226,,1,0,0,0,0
111571-6,Amani Kiluvya,Obeja,Not Registered,2016-11-02T11:35:03.000Z,2018-04-23T09:16:56.000Z,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Kiluvya,Kiluvya 'B',Dispensary,Closed,Private - For Profit,,,-6.80012,39.02161,20/06/2016,1,0,0,0,0
111795-1,Amani Kiluvya,Amani Kiluvya,Registered,2017-07-14T05:11:40.000Z,2019-07-16T13:16:43.000Z,Eastern Zone,Pwani,Mkuranga,Mkuranga DC,Vikindu,Kipala Mpakani,Dispensary,Operating,Private - For Profit,63203,,-6.95651,39.28335,,1,0,0,0,0
100112-2,Amani makolo,Amani Makoro Dispensary,Registration Pending Certification,2013-08-20T10:23:59.000Z,2018-05-02T11:26:16.000Z,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Amani Makolo,Amani Makoro,Dispensary,Operating,Public - LGA,,,-10.674759,35.135415,20/03/1986,0,0,1,1,0
112221-7,Amani Medics,,Registered,2018-05-07T10:34:17.000Z,2018-05-07T10:34:17.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Chang'ombe,Chang'ombe Juu,Dispensary,Operating,Private - For Profit,14229,,-6.15357,35.73833,26/01/2018,1,0,0,0,0
100113-0,Amani NIMR,Amani NIMR,Not Registered,2013-08-20T10:23:59.000Z,2015-08-24T07:03:26.000Z,Northern Zone,Tanga,Muheza,Muheza DC,Amani,Shebomeza,Dispensary,Closed,Public - Parastatal,,,-5.09886,38.6332,,0,0,0,0,0
113770-2,Amani Terat,Amani Terat,Registered,2019-08-28T18:03:15.000Z,2019-12-20T12:14:51.000Z,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Terrat,Not set,Dispensary,Operating,Private - For Profit,,,-3.88263,36.59731,16/07/2019,0,1,1,0,0
100116-3,Ambangulu,,Registered,2013-08-20T10:24:00.000Z,2015-12-16T09:24:45.000Z,Northern Zone,Tanga,Korogwe,Korogwe DC,Vugiri,Makweli,Dispensary,Operating,Private - For Profit,,,-5.07077,38.42567,,0,0,0,0,0
100117-1,Amboni,,Registered,2013-08-20T10:24:00.000Z,2015-06-30T06:57:48.000Z,Northern Zone,Tanga,Tanga,Tanga CC,Mzizima,Mleni,Dispensary,Closed,Private - For Profit,,,-5.04776,39.05074,,0,0,0,0,0
112097-1,Ambreni,Ambreni,Registered,2018-02-08T09:54:16.000Z,2019-05-29T10:39:09.000Z,Northern Zone,Arusha,Arumeru,Meru DC,Ambureni,Ambureni,Dispensary,Operating,Public - LGA,,,-3.36819,36.75618,17/01/2018,1,0,0,0,0
107961-5,AMEC,AMEC,Registered,2013-08-20T10:53:57.000Z,2018-04-02T03:51:30.000Z,Western Zone,Tabora,Sikonge,Sikonge DC,Tutuo,Tutuo,Dispensary,Operating,Private - Faith based organization (FBO),,,-5.48138,32.6768,14/02/2002,1,0,0,0,0
100119-7,AMEC,AMEC,Registered,2013-08-20T10:24:00.000Z,2019-05-23T16:54:08.000Z,Southern Highlands Zone,Katavi,Mpanda,Mpanda MC,Makanyagio,Makanyagio,Dispensary,Operating,Private - Faith based organization (FBO),151202,23-02-0121,-6.337284,31.070345,12/07/2006,0,0,0,0,1
111640-9,Ameki,,Registered,2017-02-01T05:40:56.000Z,2019-05-29T07:09:08.000Z,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Kyela,Ndandalo,Dispensary,Operating,Private - For Profit,123208,,-9.60517,33.85842,05/09/2016,1,0,0,0,0
111681-3,Amen,a,Registered,2017-03-07T16:17:06.000Z,2019-04-26T18:43:54.000Z,Lake Zone,Kagera,Ngara,Ngara DC,Ngara Mjini,Mubinyange,Dispensary,Operating,Private - For Profit,185204,,-2.51155,30.6538,01/11/2016,1,0,0,0,0
113184-6,Amen,,Registered,2019-03-27T10:13:15.000Z,2019-05-30T07:55:24.000Z,Western Zone,Tabora,Tabora,Tabora MC,Ng`ambo,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/TAB/AUT/03,,-5.02836,32.801762,,0,0,0,0,0
112037-7,Amen,,Registered,2018-01-23T08:16:51.000Z,2019-06-04T11:54:18.000Z,Northern Zone,Manyara,Babati,Babati TC,Babati,Old,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MNR/AUT/05,,-4.2082,35.74563,,1,0,0,0,0
113333-9,Amen,,Registered,2019-03-27T17:59:11.000Z,2019-06-07T17:49:56.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyakato,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MWZ/AUT/030,,-2.531975,32.940116,,0,0,0,0,0
100120-5,Ameni,Ameni,Registered,2013-08-20T10:24:00.000Z,2019-05-17T10:27:09.000Z,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Kyela,Kyela kati,Dispensary,Operating,Private - For Profit,123204,,-9.59996,33.86665,12/12/2008,1,1,0,0,0
100121-3,Ameni,Amen,Registered,2013-08-20T10:24:01.000Z,2020-01-24T13:43:55.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza A,Dispensary,Operating,Private - For Profit,71266,,-6.78339,39.22297,20/04/1999,1,1,0,0,0
112596-2,Amenye,Amenye zahanati,Registered,2019-02-28T14:03:44.000Z,2019-06-16T18:01:23.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Iyela,Ilembo,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MBY/AVT/06,,-8.92578,33.45772,18/01/2015,1,0,0,0,0
111355-4,Amenye,Amenye Hospitali,Registered,2016-03-15T04:20:23.000Z,2019-05-29T10:06:59.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Iyela,Ilembo,Dispensary,Operating,Private - For Profit,127134,,-8.92578,33.45772,01/01/2016,1,0,0,0,0
113194-5,Amigo,,Registered,2019-03-27T11:03:52.000Z,2019-05-30T07:03:49.000Z,Western Zone,Tabora,Urambo,Urambo DC,Urambo,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/TAB/AUT/012,,-5.069475,32.072481,,0,0,0,0,0
113403-0,AMREF,,Registered,2019-03-27T17:58:40.000Z,2019-11-14T17:45:34.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Not set,Health Labs - Level III single purpose Health Laboratory,Operating,Private - For Profit,PHL-ASingle purpose/DSM-ILA/AUT/01,,-6.80899,39.28654,01/06/2004,1,1,0,0,0
107732-0,Amsterdam,Tamta Makorora,Registered,2013-08-20T10:52:59.000Z,2015-12-18T05:57:11.000Z,Northern Zone,Tanga,Tanga,Tanga CC,Makorora,Makorora kati,Dispensary,Operating,Private - For Profit,,,-5.088497,39.110085,,1,0,0,0,0
109829-2,AMUCTA,AMUCTA,Registered,2015-03-30T06:07:55.000Z,2018-10-25T05:08:47.000Z,Western Zone,Tabora,Tabora,Tabora MC,Kanyenye,T.T.C,Dispensary,Operating,Private - Faith based organization (FBO),,,-5.02433,32.81594,07/08/2013,1,0,0,0,0
100123-9,Anamed,Anamed,Registered,2013-08-20T10:24:01.000Z,2020-02-05T09:36:06.000Z,Lake Zone,Mwanza,Kwimba,Kwimba DC,Malya,Malya,Dispensary,Closed,Private - For Profit,194202,,-2.97539,33.51805,,0,0,1,0,0
100124-7,Ananda Marga,Kwa Mfilipino,Registered,2013-08-20T10:24:01.000Z,2019-11-14T17:47:11.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Pugu,Kinyamwezi,Dispensary,Operating,Private - For Profit,72335,,-6.928634,39.128981,08/11/2011,1,1,0,0,0
111521-1,Ane,Ane,Registered,2016-09-29T09:07:28.000Z,2019-11-27T13:14:41.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Mofu,Mofu,Dispensary,Operating,Private - For Profit,53225,,-8.2525,36.361138,05/09/2016,0,0,1,0,0
110610-3,Ane Afya Care,Ane Dispensary,Registered,2015-07-10T06:47:56.000Z,2019-11-14T17:49:22.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ukonga,Mongo la ndege,Dispensary,Operating,Private - For Profit,72419,,-6.863498,39.167459,12/05/2015,1,1,0,0,0
112967-5,Angaza,Angaza Laboratory,Registered,2019-03-07T18:52:32.000Z,2019-08-09T06:31:06.000Z,Southern Zone,Lindi,Nachingwea,Nachingwea DC,Nachingwea,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/LIND/AUT/07,,-10.369,38.76437,04/05/2018,1,0,0,0,0
111209-3,Angaza centre,,Registered,2015-11-26T09:35:51.000Z,2019-09-04T19:01:52.000Z,Western Zone,Tabora,Tabora,Tabora MC,Mbugani,Not set,Clinic,Closed,Private - NGOs,,,-5.01643,32.80093,,0,0,0,0,0
111292-9,Angaza VCT,ANGAZA,Not Registered,2015-12-18T11:48:27.000Z,2016-06-11T12:05:43.000Z,Southern Zone,Ruvuma,Songea,Songea MC,Misufini,Mabatini,Clinic - Other Clinic,Operating,Public - LGA,,,-10.67188,35.64617,03/09/1999,0,0,0,0,0
111236-6,ANGAZA- VCT,AICT ANGAZA,Registered,2015-11-27T10:58:47.000Z,2019-05-08T21:08:20.000Z,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarage,Majengo,Clinic - Other Clinic,Operating,Private - Faith based organization (FBO),6767,17-05-0112,-3.39915,33.24945,21/03/2003,1,0,0,0,0
